id,name,tag,count
4,Afghanistan,Afghan,0
8,Albania,Albanian,0
12,Algeria,Algerian,0
20,Andorra,Andorran,0
24,Angola,Angolan,0
31,Azerbaijan,Azerbaijani,0
32,Argentina,Argentinian,0
36,Australia,Australian,0
40,Austria,Austrian,0
44,Bahamas,Bahamian,0
48,Bahrain,Bahraini,0
50,Bangladesh,Bangladeshi,0
51,Armenia,Armenian,0
52,Barbados,Barbadian,0
56,Belgium,Belgian,0
64,Bhutan,Bhutanese,0
68,Bolivia,Bolivian,0
70,Bosnia-Herzegovina,Bosnian,0
72,Botswana,Botswanan,0
76,Brazil,Brazilian,0
84,Belize,Belizean,0
90,Solomon Islands,-,0
100,Bulgaria,Bulgarian,0
108,Burundi,Burundian,0
112,Belarus,Belarusian,0
116,Cambodia,Cambodian,0
120,Cameroon,Cameroonian,0
124,Canada,Canadian,0
132,Cape Verde,Cape Verdean,0
144,Sri Lanka,Sri Lankan,0
148,Chad,Chadian,0
152,Chile,Chilean,0
156,China,Chinese,0
158,Taiwan,Taiwanese,0
170,Colombia,Colombian,0
178,Congo-Brazzaville,Congolese,0
180,DR Congo,Congolese,0
188,Costa Rica,Costa Rican,0
192,Cuba,Cuban,0
196,Cyprus,Cypriot,0
203,Czech Republic,Czech,0
204,Benin,Beninese,0
208,Denmark,Danish,0
212,Dominica,Dominican,0
214,Dominican Republic,Dominican,0
218,Ecuador,Ecuadorean,0
222,El Salvador,Salvadorean,0
826,England,English,0
231,Ethiopia,Ethiopian,0
232,Eritrea,Eritrean,0
233,Estonia,Estonian,0
410,South Korea,South Korean,0
242,Fiji,Fijian,0
246,Finland,Finnish,0
250,France,French,0
262,Djibouti,Djiboutian,0
266,Gabon,Gabonese,0
268,Georgia,Georgian,0
270,Gambia,Gambian,0
276,Germany,German,0
288,Ghana,Ghanaian,0
300,Greece,Greek,0
308,Grenada,Grenadian,0
320,Guatemala,Guatemalan,0
324,Guinea,Guinean,0
328,Guyana,Guyanese,0
332,Haiti,Haitian,0
340,Honduras,Honduran,0
348,Hungary,Hungarian,0
352,Iceland,Icelandic,0
356,India,Indian,0
360,Indonesia,Indonesian,0
364,Iran,Iranian,0
368,Iraq,Iraqi,0
372,Ireland,Irish,0
380,Italy,Italian,0
191,Croatia,Croat or Croatian,0
388,Jamaica,Jamaican,0
392,Japan,Japanese,0
398,Kazakhstan,Kazakh,0
400,Jordan,Jordanian,0
404,Kenya,Kenyan,0
414,Kuwait,Kuwaiti,0
418,Laos,Laotian,0
422,Lebanon,Lebanese,0
428,Latvia,Latvian,0
430,Liberia,Liberian,0
434,Libya,Libyan,0
438,Liechtenstein,-,0
440,Lithuania,Lithuanian,0
442,Luxembourg,-,0
807,Macedonia,Macedonian,0
450,Madagascar,Madagascan,0
454,Malawi,Malawian,0
458,Malaysia,Malaysian,0
462,Maldives,Maldivian,0
466,Mali,Malian,0
470,Malta,Maltese,0
478,Mauritania,Mauritanian,0
480,Mauritius,Mauritian,0
484,Mexico,Mexican,0
492,Monaco,Monacan,0
496,Mongolia,Mongolian,0
891,Montenegro,Montenegrin,0
504,Morocco,Moroccan,0
508,Mozambique,Mozambican,0
512,Oman,Omani,0
516,Namibia,Namibian,0
524,Nepal,Nepalese,0
528,Netherlands,Dutch,0
528,Netherlands,Dutch,0
548,Vanuatu,Vanuatuan,0
554,New Zealand,New Zealand,0
558,Nicaragua,Nicaraguan,0
562,Niger,Nigerien,0
566,Nigeria,Nigerian,0
408,North Korea,North Korean,0
578,Norway,Norwegian,0
840,United States,American,10
498,Moldova,Moldovan,0
586,Pakistan,Pakistani,0
591,Panama,Panamanian,0
598,Papua New Guinea,Guinean,0
600,Paraguay,Paraguayan,0
604,Peru,Peruvian,0
616,Poland,Polish,0
620,Portugal,Portuguese,0
634,Qatar,Qatari,0
642,Romania,Romanian,0
643,Russia,Russian,0
646,Rwanda,Rwandan,0
682,Saudi Arabia,Saudi,0
,Scotland,Scottish,0
686,Senegal,Senegalese,0
891,Serbia,Serbian,0
690,Seychelles,Seychellois,0
694,Sierra Leone,Sierra Leonean,0
702,Singapore,Singaporean,0
703,Slovakia,Slovak,0
704,Vietnam,Vietnamese,0
705,Slovenia,Slovenian,0
706,Somalia,Somali,0
710,South Africa,South African,0
716,Zimbabwe,Zimbabwean,0
724,Spain,Spanish,0
804,Western Samoa,Western Samoan,0
729,Sudan,Sudanese,0
740,Suriname,Surinamese,0
748,Swaziland,Swazi,0
752,Sweden,Swedish,10
756,Switzerland,Swiss,0
760,Syria,Syrian,0
762,Tajikistan,Tajik,0
834,Tanzania,Tanzanian,0
608,Philippines,Philippine,0
764,Thailand,Thai,0
768,Togo,Togolese,0
780,Trinidad and Tobago,Trinidadian,0
784,United Arab Emirates,Emirati,0
788,Tunisia,Tunisian,0
792,Turkey,Turkish,0
795,Turkmenistan,Turkmen,0
798,Tuvalu,Tuvaluan,0
800,Uganda,Ugandan,0
804,Ukraine,Ukrainian,0
818,Egypt,Egyptian,0
826,United Kingdom,British,10
,Wales,Welsh,0
854,Burkina Faso,Burkinese,0
104,Burma,Burmese,0
858,Uruguay,Uruguayan,0
860,Uzbekistan,Uzbek,0
862,Venezuela,Venezuelan,0
887,Yemen,Yemeni,0
894,Zambia,Zambian,0
426,Lesotho,Lesothian,0
140,Central African Republic,Central African,0
728,South Sudan,South Sudanese,0
